ID,ladoMSANLEFT,ladoMSANRIGHT,ladocabeceraLEFT,ladocabeceraRIGHT,"Nombre del cable",Filamento
132,"CP 6413511 FIL 49
FCA O060F SPL-1","MSAN 8417-PTNV 1-1-1","MSAN 8417-PTNV 1-1-1
FCA O060F SPL-1","CP 6413511 FIL 49",6413511,49
133,"CP 6413511 FIL 50
FCA O060F SPL-2","MSAN 8417-PTNV 1-1-2","MSAN 8417-PTNV 1-1-2
FCA O060F SPL-2","CP 6413511 FIL 50",6413511,50
134,"CP 6413511 FIL 51
FCA O060F SPL-3","MSAN 8417-PTNV 1-1-3","MSAN 8417-PTNV 1-1-3
FCA O060F SPL-3","CP 6413511 FIL 51",6413511,51
135,"CP 6413511 FIL 1
FCA O061F SPL-1","MSAN 8417-PTNV 1-1-4","MSAN 8417-PTNV 1-1-4
FCA O061F SPL-1","CP 6413511 FIL 1",6413511,1
136,"CP 6413511 FIL 2
FCA O061F SPL-2","MSAN 8417-PTNV 1-1-5","MSAN 8417-PTNV 1-1-5
FCA O061F SPL-2","CP 6413511 FIL 2",6413511,2
137,"CP 6413511 FIL 3
FCA O061F SPL-3","MSAN 8417-PTNV 1-1-6","MSAN 8417-PTNV 1-1-6
FCA O061F SPL-3","CP 6413511 FIL 3",6413511,3
138,"CP 6413511 FIL 97
FCA O077F SPL-1","MSAN 8417-PTNV 1-1-7","MSAN 8417-PTNV 1-1-7
FCA O077F SPL-1","CP 6413511 FIL 97",6413511,97
139,"CP 6413511 FIL 98
FCA O077F SPL-2","MSAN 8417-PTNV 1-1-8","MSAN 8417-PTNV 1-1-8
FCA O077F SPL-2","CP 6413511 FIL 98",6413511,98
140,"FOT Troncal N/S CCRO FIL 7
FCA O080F SPL-1","MSAN 8419-CCRO 1-1-1","MSAN 8419-CCRO 1-1-1
FCA O080F SPL-1","FOT Troncal N/S CCRO FIL 7","Troncal N/S CCRO",7
141,"FOT Troncal N/S CCRO FIL 8
FCA O080F SPL-2","MSAN 8419-CCRO 1-1-2","MSAN 8419-CCRO 1-1-2
FCA O080F SPL-2","FOT Troncal N/S CCRO FIL 8","Troncal N/S CCRO",8
142,"FOT Troncal N/S CCRO FIL 9
FCA O080F SPL-3","MSAN 8419-CCRO 1-1-3","MSAN 8419-CCRO 1-1-3
FCA O080F SPL-3","FOT Troncal N/S CCRO FIL 9","Troncal N/S CCRO",9
143,"CP 6413592 FIL 1
FCA O081F SPL-1","MSAN 8419-CCRO 1-1-4","MSAN 8419-CCRO 1-1-4
FCA O081F SPL-1","CP 6413592 FIL 1",6413592,1
144,"CP 6413592 FIL 2
FCA O081F SPL-2","MSAN 8419-CCRO 1-1-5","MSAN 8419-CCRO 1-1-5
FCA O081F SPL-2","CP 6413592 FIL 2",6413592,2
145,"CP 6413592 FIL 3
FCA O081F SPL-3","MSAN 8419-CCRO 1-1-6","MSAN 8419-CCRO 1-1-6
FCA O081F SPL-3","CP 6413592 FIL 3",6413592,3
146,"CP 6413592 FIL 4
FCA O081F SPL-4","MSAN 8419-CCRO 1-1-7","MSAN 8419-CCRO 1-1-7
FCA O081F SPL-4","CP 6413592 FIL 4",6413592,4
147,"CP 6413592 FIL 5
FCA O081F SPL-5","MSAN 8419-CCRO 1-1-8","MSAN 8419-CCRO 1-1-8
FCA O081F SPL-5","CP 6413592 FIL 5",6413592,5
148,"CP 6413592 FIL 25
FCA O091F SPL-1","MSAN 8419-CCRO 1-1-9","MSAN 8419-CCRO 1-1-9
FCA O091F SPL-1","CP 6413592 FIL 25",6413592,25
149,"CP 6413592 FIL 26
FCA O091F SPL-2","MSAN 8419-CCRO 1-1-10","MSAN 8419-CCRO 1-1-10
FCA O091F SPL-2","CP 6413592 FIL 26",6413592,26
150,"CP 6413592 FIL 27
FCA O091F SPL-3","MSAN 8419-CCRO 1-1-11","MSAN 8419-CCRO 1-1-11
FCA O091F SPL-3","CP 6413592 FIL 27",6413592,27
